text,label
"දිවිනසාගැනීම් මිනීමැරීම් වගේ දේවල් දක්වා වැඩිදියුණු වෙන්න පුලුවන්
උදා :- එක්තරා පාසලක ගුරුවරයෙක් 11 වසරෙ පිරිමි ළම… https://t.co/3rtsavJl5r",0
@indika27 වැඩේ කියන්නෙ අපිට වලි දාගන්න වෙලා තියෙන්නෙ අපේම එවුන් එක්කනෙ මේ වයසක උන්ගෙ ඔලුවල තියෙන්නෙම තන්හාවා ගස් කො… https://t.co/eU4l4YeLpv,0
"සජිත් ඇයි මේ දවස්වල ඩේලි මිරර් එකට ආඬපාලි කියන්නේ? 

තව එඩිටර් කෙනෙක් කාර් එකක මැරිලා ඉඳියිද දන්නෑ වැඩි දොහක් යන්න කලින්....",0
@Jsonpereira @UNPunOfficial නාකී ටිකනම් මැරිලා යයි ළමයි තමයි විකුනන්න දේයක් නැති වේච්ච දවසට පව් ගේවන්න ඔනි 🤮🤮 තු තු නෝදකීන්,0
RT @CharukaLive: කෑම/ කටුවා කෑම කියනෙත් ඕකට. මේක හැදුනොත් හොඳ කරගන්න එයාලට ප්‍රතිශක්තියක් නැති නිසා ඇඟපුරාම පැතිරෙනවා. ඊට පස්සෙ ලොම් ඔක්කොම…,0
"RT @YasiruRasanga_: ඊයේ රෑ කෝපි බීලා කෝප්පෙ හෝදන්නැතුව බිමින් තියලා තිබ්බා.

දැන් බලද්දී හූනො දෙන්නෙක් ඒකෙ මැරිලා ඉන්නවා.  🤢🤢🤢🤢🤢",0
"ඊයේ රෑ කෝපි බීලා කෝප්පෙ හෝදන්නැතුව බිමින් තියලා තිබ්බා.

දැන් බලද්දී හූනො දෙන්නෙක් ඒකෙ මැරිලා ඉන්නවා.  🤢🤢🤢🤢🤢",0
@irajonline මම පිළියන්දල ඉන්නකං එලියට බැස්ස නැති ගැන්සි. ආන්න දැං රගනවා. සේරම තෝ දීපු පුකට පිංසිද්ද වෙන්න. අත දුන්න… https://t.co/L2Vsp0OIcM,0
"RT @SaMpAtH34753881: #SriLanka 🐘🏳

#මීගලෑවේ ඇතා මැරිලා පැය 24 යන්න කලින් #දනුද්දර ඇතාත් ඝාතනය වේ 😥🐘...

ලංකාවේ අැත්තු සියැසින් දැකපු අැත් ප…",0
"RT @SaMpAtH34753881: #SriLanka 🐘🏳

#මීගලෑවේ ඇතා මැරිලා පැය 24 යන්න කලින් #දනුද්දර ඇතාත් ඝාතනය වේ 😥🐘...

ලංකාවේ අැත්තු සියැසින් දැකපු අැත් ප…",0
"#SriLanka 🐘🏳

#මීගලෑවේ ඇතා මැරිලා පැය 24 යන්න කලින් #දනුද්දර ඇතාත් ඝාතනය වේ 😥🐘...

ලංකාවේ අැත්තු සියැසින් දැකපු අැ… https://t.co/XfxS1sTffH",0
@ayo_itschootii @_TheKande @Atumbus @DehanJ_ @DiyaniTweets කමක් නෑ චූටි.. ඔයා අතින් හරි මැරිලා යනවනම් ලොකු දෙයක්.. 🙁,0
RT @UNPunOfficial: ජුලී නම් ගිය ආත්මේ ලංකාවේ දේශපාලනේ කරලා මැරිලා තියෙන්නෙ. තව ටික දවසකින් ගමේ මළගෙදරකටත් ගෙන්න ගන්න පුළුවන්.,0
RT @UNPunOfficial: ජුලී නම් ගිය ආත්මේ ලංකාවේ දේශපාලනේ කරලා මැරිලා තියෙන්නෙ. තව ටික දවසකින් ගමේ මළගෙදරකටත් ගෙන්න ගන්න පුළුවන්.,0
RT @UNPunOfficial: ජුලී නම් ගිය ආත්මේ ලංකාවේ දේශපාලනේ කරලා මැරිලා තියෙන්නෙ. තව ටික දවසකින් ගමේ මළගෙදරකටත් ගෙන්න ගන්න පුළුවන්.,0
RT @UNPunOfficial: ජුලී නම් ගිය ආත්මේ ලංකාවේ දේශපාලනේ කරලා මැරිලා තියෙන්නෙ. තව ටික දවසකින් ගමේ මළගෙදරකටත් ගෙන්න ගන්න පුළුවන්.,0
ජුලී නම් ගිය ආත්මේ ලංකාවේ දේශපාලනේ කරලා මැරිලා තියෙන්නෙ. තව ටික දවසකින් ගමේ මළගෙදරකටත් ගෙන්න ගන්න පුළුවන්. https://t.co/WjWXL7me18,0
ඩයිනෝසරයන් ට ගොඩක් ස්තූතිවන්ත වෙනවා මැරිලා පොසිල ඉන්ධන වෙලා ඒවායෙන් වහන බලගන්වන්න පුළුවන් ඉන්ධන හදන්න පුලුවන් වෙලා… https://t.co/YzumF4PyaI,0
@SumanaAbeyseke1 @DPMJayawardhan1 @SriNewspaper @KMeeeaaow මිනිස්සු පෝලිම වල මැරිලා වැටෙන එක නවත්තුවම අසාර්තකලු ජයන් මෙන්ඩිස් හමුවන්න,0
"දැන් නම් පොඩ්ඩක් ඔළුව නිදහස් කරගන්නෝනේ 🥴

දැන්ම මෙහෙම නම් කෙල්ලෙක් එක්ක ලව් කරද්දි මාව බාගෙට මැරිලා යාවි 😑",0
"සාරා මැරිලා පොලිසිය සොයාගෙන ! 

#lka #SriLanka #Crime #Sara #DNA 
@SL_PoliceMedia 

https://t.co/qcI2ZBrJSp",0
"@Media_NR @RajapaksaNamal මී හරකා, උඹ හිතුවද අපි මැරිලා ඉපදුනා කියලා, උඹලා හොරා කාලා කාලා මේ රටේ මිනිස්සුන්ට කන්න… https://t.co/hjwOFbFO5g",0
@0_dhanushka ආයෙ මැරිලා ඉපදෙන්ඩ එපැයි🙁,0
යුක්‍රේණේ යුද්දේ ඉවර වෙද්දී රුසියාවේ කොල්ලෝ ගොඩක් මැරිලා. රුසියාවේ කෙල්ලෝ අතිරික්තයක් ඇතිවෙනවා. රුසියාවේ කෙල්ලන්ට ට්‍රයි කරන්න බය වෙන්න එපා.,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
"ලංකාවේ අපි දිනපතා එතනෝල් වැඩිමනක් ගත්තොත් අක්මාව කේස් වෙන්න ගන්නවා..
හැබැයි බියර් ලීටර් ගනන් එක හුස්මට ගහල දාන ජර්ම… https://t.co/GgmfDWnTH3",0
@NewsWireLK තොපිට චන්දේ දෙන්න අපි මැරිලා ඉපදෙන ඕනෑ ...පරයො ..,0
@nipuna__d හප්පේ ... දැන් නිදහසේ මැරිලා ගියෑකී ...😍😍😍😍,0
අද මුල්ගම්පල ගුවන්පාලම තියෙද්දිත් අනාරක්ෂිතව දුම්රිය පාර හරහා මාරු වෙන්න ගිය ලමයෙක් බදුල්ල - කොළඹ express එකට හැප්පිලා මැරිලා...😪😪,0
"@AkilaSilva8 ඉතින් වැඩිපුර නිදාගත්තමත් ජීවත් වුනත් මැරිලා වගේනේ, ඊට වඩා හොදයි ඉන්න ටික කාලේ ඇහැරිලා ජොලියෙන් ඉන්න එක 😜😜😜",0
"ගෙවල් වලින් පැනලා ගිහින් එල්ලිලා මැරිලා..!
ගෑණු ළමයට අවුරුදු 14 යි. පිරිමි ළමයට අවුරුදු 20 යි.

මොන ජීවිතද මේවා...!!!",0
@Thomi_Tweet මැරිලා හිටපන් මුලින්ම 😑,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
@Thomi_Tweet හොපයි. ජුන්ඩා වැලදාගෙන මැරිලා නේද 😳,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
RT @KaviSenu: මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.c…,0
මහල්ලා ඕනම කොන්දේසියකට යටත්ව අනාගත පරපුර බිල්ලට දීලා ණය අරගෙන උගෙ හිතවතුන්ටත් බදලා මහළු ඌත් ෆන් අරගෙන මැරිලා යයි. https://t.co/x8ylwGI2I8,0
@thnsameera Lump Sum Tax සමාජවාදී බද්දක්. අනික රනිල් නැත්තම් බෝනස් නෑනේ. එහෙනම් මෙලහකට තෙල් පෝලිමේ ගුටි කාලා මැරිලා.,0
"RT @bbcsinhala: 'මගේ නෝනා බඩගින්නෙ මැරිලා ගියා' 

පසුගිය වසරේ සෝමාලි නියඟයෙන් 43 000ක් දෙනා මියගියබවට ඇස්තමේන්තු https://t.co/iOMCowHQW0",0
"@samith78 තොත් මැරිලා මුත් මැරිලා පල 
තොපි හදපු ප්‍රශ්න නේ මෙව්වා 

ගොබ්බ සිංහල පකයෝයි",0
@yunesh_k ප්රභාකරන් හොද වෙලාවට මැරිලා...🤦,0
මේ හැමදෙයක්ම බලාගෙන මැරිලා වගේ ඉන්න එක හරිම අමාරුයි.,0
"RT @bbcsinhala: 'මගේ නෝනා බඩගින්නෙ මැරිලා ගියා' 

පසුගිය වසරේ සෝමාලි නියඟයෙන් 43 000ක් දෙනා මියගියබවට ඇස්තමේන්තු https://t.co/iOMCowHQW0",0
"RT @dimuth_bee: කවුද යකොව් පඳුරට බොම්බ ගැහුවේ අහිංසක හාවොත් මැරිලා.😂🤣🤣
https://t.co/DYeyVLX710",0
නිදහසේ ආයෙත් කොහෙවත් නූපදින්නම මැරිලා යන්න ඕනෙ නම් මම සැපිරිය යුතු සුදුසුකම් මොනවාද? මේ හිත දුව දුවා යන්නෙ ඒවා සපුර… https://t.co/fKbLPNAUrH,0
"කවුද යකොව් පඳුරට බොම්බ ගැහුවේ අහිංසක හාවොත් මැරිලා.😂🤣🤣
https://t.co/DYeyVLX710",0
අනේ මට ඕනෙ කාටවත් නරකක් කරන්නෙ නැතුව මනුස්සයෙක් විදියට මැරිලා යන්න 😭😭😭,0
"RT @bbcsinhala: 'මගේ නෝනා බඩගින්නෙ මැරිලා ගියා' 

පසුගිය වසරේ සෝමාලි නියඟයෙන් 43 000ක් දෙනා මියගියබවට ඇස්තමේන්තු https://t.co/iOMCowHQW0",0
